,Position,Track Name,Artist,Date,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
286,29,High Fashion (feat. Mustard),Roddy Ricch,2020-01-30,07KXEDMj78x68D884wgVEm,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,220487,4
287,32,High Fashion (feat. Mustard),Roddy Ricch,2020-02-06,07KXEDMj78x68D884wgVEm,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,220487,4
288,28,High Fashion (feat. Mustard),Roddy Ricch,2020-02-13,07KXEDMj78x68D884wgVEm,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,220487,4
289,36,High Fashion (feat. Mustard),Roddy Ricch,2020-02-20,07KXEDMj78x68D884wgVEm,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,220487,4
290,47,Rehat,Kunto Aji,2020-01-09,1BzMyhmPzYnGWK6RBF5TTj,0.327,0.252,2,-12.514,1,0.0314,0.849,0.213,0.145,0.0708,69.989,354480,4
291,36,Rehat,Kunto Aji,2020-01-16,1BzMyhmPzYnGWK6RBF5TTj,0.327,0.252,2,-12.514,1,0.0314,0.849,0.213,0.145,0.0708,69.989,354480,4
292,31,Rehat,Kunto Aji,2020-01-23,1BzMyhmPzYnGWK6RBF5TTj,0.327,0.252,2,-12.514,1,0.0314,0.849,0.213,0.145,0.0708,69.989,354480,4
293,28,Rehat,Kunto Aji,2020-01-30,1BzMyhmPzYnGWK6RBF5TTj,0.327,0.252,2,-12.514,1,0.0314,0.849,0.213,0.145,0.0708,69.989,354480,4
294,26,Rehat,Kunto Aji,2020-02-06,1BzMyhmPzYnGWK6RBF5TTj,0.327,0.252,2,-12.514,1,0.0314,0.849,0.213,0.145,0.0708,69.989,354480,4
295,42,Rehat,Kunto Aji,2020-02-13,1BzMyhmPzYnGWK6RBF5TTj,0.327,0.252,2,-12.514,1,0.0314,0.849,0.213,0.145,0.0708,69.989,354480,4
296,48,Patointeligencja,Mata,2020-01-09,6F3zAaf1DY7akff9JQ8pMb,0.851,0.54,11,-10.04,0,0.357,0.224,0.0,0.071,0.269,136.904,253609,4
297,5,Burberry faygo,Lil Adrei,2020-01-16,3B36YnwXzR3VKm4hHYmGtr,0.83,0.399,0,-10.988,1,0.0581,0.0243,3.8e-06,0.105,0.321,99.01,142106,4
298,7,Psycho,Red Velvet,2020-01-16,3CYH422oy1cZNoo0GTG1TK,0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,210560,4
299,6,Psycho,Red Velvet,2020-01-23,3CYH422oy1cZNoo0GTG1TK,0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,210560,4
300,22,Psycho,Red Velvet,2020-01-30,3CYH422oy1cZNoo0GTG1TK,0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,210560,4
301,30,Psycho,Red Velvet,2020-02-06,3CYH422oy1cZNoo0GTG1TK,0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,210560,4
302,13,Dolunay,Enes Batur,2020-01-16,0Ca4p7aZRXKdGvLuqezTwC,0.711,0.594,0,-9.286,0,0.09,0.358,0.0,0.0938,0.273,129.943,182037,4
303,20,Dolunay,Enes Batur,2020-01-23,0Ca4p7aZRXKdGvLuqezTwC,0.711,0.594,0,-9.286,0,0.09,0.358,0.0,0.0938,0.273,129.943,182037,4
304,41,Dolunay,Enes Batur,2020-01-30,0Ca4p7aZRXKdGvLuqezTwC,0.711,0.594,0,-9.286,0,0.09,0.358,0.0,0.0938,0.273,129.943,182037,4
305,22,German,No Money Enterprise,2020-01-16,4pMEp90aY5XZcQQGaH7ahu,0.786,0.847,11,-6.365,0,0.141,0.0983,1.22e-06,0.212,0.509,139.904,234791,4
306,23,German,No Money Enterprise,2020-01-23,4pMEp90aY5XZcQQGaH7ahu,0.786,0.847,11,-6.365,0,0.141,0.0983,1.22e-06,0.212,0.509,139.904,234791,4
307,33,German,No Money Enterprise,2020-01-30,4pMEp90aY5XZcQQGaH7ahu,0.786,0.847,11,-6.365,0,0.141,0.0983,1.22e-06,0.212,0.509,139.904,234791,4
308,49,German,No Money Enterprise,2020-02-06,4pMEp90aY5XZcQQGaH7ahu,0.786,0.847,11,-6.365,0,0.141,0.0983,1.22e-06,0.212,0.509,139.904,234791,4
309,26,Vibe With Me,Matthaios,2020-01-16,0G5qmu4TsdUH19zdcbI9Ui,0.817,0.297,1,-13.695,1,0.0553,0.722,0.0,0.101,0.443,100.031,139180,4
310,34,Vibe With Me,Matthaios,2020-01-23,0G5qmu4TsdUH19zdcbI9Ui,0.817,0.297,1,-13.695,1,0.0553,0.722,0.0,0.101,0.443,100.031,139180,4
311,45,Vibe With Me,Matthaios,2020-01-30,0G5qmu4TsdUH19zdcbI9Ui,0.817,0.297,1,-13.695,1,0.0553,0.722,0.0,0.101,0.443,100.031,139180,4
312,28,BOYFREN,LoveLeo,2020-01-16,3WmgMoWZ1E5yNyn2aUzWAr,0.846,0.364,1,-7.328,1,0.0602,0.246,0.011,0.0902,0.682,79.927,136956,4
